,ki,kd,time
"(0.08, 0.8)",0.08,0.8,5.068232774734497
"(0.08, 0.9)",0.08,0.9,5.110393047332764
"(0.09, 0.0)",0.09,0.0,4.965603828430176
"(0.09, 0.1)",0.09,0.1,5.068283319473267
"(0.09, 0.2)",0.09,0.2,10.288877964019775
"(0.09, 0.30000000000000004)",0.09,0.30000000000000004,4.9602696895599365
"(0.09, 0.4)",0.09,0.4,4.853457927703857
"(0.09, 0.5)",0.09,0.5,5.062586784362793
"(0.09, 0.6000000000000001)",0.09,0.6000000000000001,9.657617092132568
"(0.09, 0.7000000000000001)",0.09,0.7000000000000001,8.300024032592773
"(0.09, 0.8)",0.09,0.8,10.665661811828613
"(0.09, 0.9)",0.09,0.9,4.992791414260864
"(0.1, 0.0)",0.1,0.0,9.883379697799683
"(0.1, 0.1)",0.1,0.1,4.9918177127838135
"(0.1, 0.2)",0.1,0.2,9.977962255477905
"(0.1, 0.30000000000000004)",0.1,0.30000000000000004,4.957600831985474
"(0.1, 0.4)",0.1,0.4,4.981244802474976
"(0.1, 0.5)",0.1,0.5,11.866570949554443
"(0.1, 0.6000000000000001)",0.1,0.6000000000000001,4.9475789070129395
"(0.1, 0.7000000000000001)",0.1,0.7000000000000001,4.995727777481079
"(0.1, 0.8)",0.1,0.8,11.410427808761597
"(0.1, 0.9)",0.1,0.9,4.986686706542969
"(0.11, 0.0)",0.11,0.0,4.987193822860718
"(0.11, 0.1)",0.11,0.1,9.712548017501831
"(0.11, 0.2)",0.11,0.2,4.806493282318115
"(0.11, 0.30000000000000004)",0.11,0.30000000000000004,14.053168535232544
"(0.11, 0.4)",0.11,0.4,4.97763204574585
"(0.11, 0.5)",0.11,0.5,4.978668451309204
"(0.11, 0.6000000000000001)",0.11,0.6000000000000001,4.8735692501068115
"(0.11, 0.7000000000000001)",0.11,0.7000000000000001,5.384989261627197
"(0.11, 0.8)",0.11,0.8,9.910937547683716
"(0.11, 0.9)",0.11,0.9,4.932464361190796
"(0.12, 0.0)",0.12,0.0,9.907917499542236
"(0.12, 0.1)",0.12,0.1,15.079950332641602
"(0.12, 0.2)",0.12,0.2,10.146918296813965
"(0.12, 0.30000000000000004)",0.12,0.30000000000000004,12.176299333572388
"(0.12, 0.4)",0.12,0.4,15.061268091201782
"(0.12, 0.5)",0.12,0.5,5.4906580448150635
"(0.12, 0.6000000000000001)",0.12,0.6000000000000001,10.473714113235474
"(0.12, 0.7000000000000001)",0.12,0.7000000000000001,4.8962788581848145
"(0.12, 0.8)",0.12,0.8,10.002976179122925
"(0.12, 0.9)",0.12,0.9,4.816572904586792
"(0.13, 0.0)",0.13,0.0,9.963347673416138
"(0.13, 0.1)",0.13,0.1,15.112206935882568
"(0.13, 0.2)",0.13,0.2,9.32204532623291
"(0.13, 0.30000000000000004)",0.13,0.30000000000000004,5.030188798904419
"(0.13, 0.4)",0.13,0.4,9.998331308364868
"(0.13, 0.5)",0.13,0.5,9.463855266571045
"(0.13, 0.6000000000000001)",0.13,0.6000000000000001,4.807791709899902
"(0.13, 0.7000000000000001)",0.13,0.7000000000000001,9.923900842666626
"(0.13, 0.8)",0.13,0.8,9.388890743255615
"(0.13, 0.9)",0.13,0.9,15.060794830322266
"(0.14, 0.0)",0.14,0.0,15.019562005996704
"(0.14, 0.1)",0.14,0.1,5.042082071304321
"(0.14, 0.2)",0.14,0.2,13.0464346408844
"(0.14, 0.30000000000000004)",0.14,0.30000000000000004,15.105473756790161
"(0.14, 0.4)",0.14,0.4,4.7925050258636475
"(0.14, 0.5)",0.14,0.5,4.995363473892212
"(0.14, 0.6000000000000001)",0.14,0.6000000000000001,15.118401765823364
"(0.14, 0.7000000000000001)",0.14,0.7000000000000001,9.492333173751831
"(0.14, 0.8)",0.14,0.8,4.836561441421509
"(0.14, 0.9)",0.14,0.9,15.069658279418945
"(0.15, 0.0)",0.15,0.0,15.011149644851685
"(0.15, 0.1)",0.15,0.1,4.896307468414307
"(0.15, 0.2)",0.15,0.2,15.053780317306519
"(0.15, 0.30000000000000004)",0.15,0.30000000000000004,9.453979969024658
"(0.15, 0.4)",0.15,0.4,4.771716833114624
"(0.15, 0.5)",0.15,0.5,4.991605281829834
"(0.15, 0.6000000000000001)",0.15,0.6000000000000001,15.030054807662964
"(0.15, 0.7000000000000001)",0.15,0.7000000000000001,4.784423828125
"(0.15, 0.8)",0.15,0.8,15.093408823013306
"(0.15, 0.9)",0.15,0.9,15.018157958984375
"(0.16, 0.0)",0.16,0.0,8.7819242477417
"(0.16, 0.1)",0.16,0.1,5.33078408241272
"(0.16, 0.2)",0.16,0.2,15.049607753753662
"(0.16, 0.30000000000000004)",0.16,0.30000000000000004,8.999976634979248
